age,gender,marital_status,number_of_children,department,position,employment_status,shift_timing,length_of_service,work_hours,overtime_days,vacation_days,past_event_attendance,work_days_last_month,absent_days_last_month,event_interest,event_type_preference,event_timing_preference,family_commitments,health_issues,transportation,event_date,event_time,event_location,prior_commitments
50,M,Single,1,HR,Marketing Specialist,Contract,Night,1,30,0,2,Yes,21,0,1,Social,Weekday,Yes,Severe,Own vehicle,2024-01-05,04:46:14,Office,No
36,M,Married,0,IT,HR Manager,Full-time,Night,8,20,4,2,No,17,2,10,Social,Weekday,Yes,None,Public transport,2024-03-29,12:12:45,Off-site,Yes
29,M,Married,3,Marketing,Accountant,Contract,Night,2,30,4,2,Yes,22,3,9,Social,Weekend,Yes,None,Own vehicle,2024-04-26,19:46:22,Off-site,Yes
42,M,Married,4,Sales,Marketing Specialist,Contract,Night,12,20,3,1,Yes,21,1,7,Family-friendly,Evening,Yes,None,Public transport,2024-05-05,03:43:31,Office,Yes
40,F,Married,4,Marketing,Software Engineer,Part-time,Night,8,30,2,3,No,17,1,1,Professional,Weekday,Yes,Mild,Public transport,2024-05-12,15:04:06,Off-site,Yes
44,M,Single,2,IT,Software Engineer,Contract,Night,7,20,0,4,Yes,21,4,8,Family-friendly,Evening,Yes,Mild,Public transport,2024-05-06,05:30:11,Office,No
32,M,Married,0,Marketing,Sales Executive,Full-time,Night,10,20,2,0,Yes,19,4,3,Family-friendly,Evening,Yes,Mild,Public transport,2024-03-21,05:51:36,Office,Yes
32,M,Single,0,Finance,Accountant,Part-time,Night,10,20,2,3,No,22,1,8,Professional,Weekday,Yes,Mild,Own vehicle,2024-05-10,00:33:54,Office,Yes
45,F,Single,2,Marketing,Accountant,Part-time,Night,2,30,4,2,No,20,4,5,Family-friendly,Weekday,No,Severe,Public transport,2024-05-02,06:47:09,Office,No
57,M,Single,2,HR,Sales Executive,Full-time,Day,6,30,3,3,Yes,15,2,1,Professional,Evening,No,Severe,Own vehicle,2024-03-11,16:59:51,Off-site,Yes
45,M,Single,2,HR,Marketing Specialist,Full-time,Day,6,30,1,4,Yes,21,1,7,Social,Weekday,No,Mild,Public transport,2024-01-27,11:54:06,Off-site,No
24,F,Married,3,Finance,Accountant,Part-time,Night,3,20,3,0,No,19,4,5,Professional,Weekday,Yes,Severe,Public transport,2024-02-15,10:39:06,Office,No
43,M,Single,0,IT,Software Engineer,Contract,Night,11,30,3,0,No,17,1,6,Social,Weekday,No,None,Own vehicle,2024-03-28,00:39:35,Office,No
23,M,Single,3,HR,Software Engineer,Part-time,Day,2,30,2,4,Yes,17,3,6,Family-friendly,Weekend,No,None,Own vehicle,2024-04-29,22:35:30,Office,Yes
45,M,Single,2,Sales,HR Manager,Full-time,Night,12,20,3,4,No,15,0,8,Family-friendly,Evening,No,None,Own vehicle,2024-01-12,14:50:49,Office,No
51,M,Married,0,HR,Accountant,Part-time,Day,1,40,0,2,Yes,18,1,9,Social,Evening,Yes,Mild,Public transport,2024-02-10,12:34:49,Office,No
59,M,Married,3,HR,Marketing Specialist,Full-time,Day,6,20,2,0,Yes,21,0,2,Family-friendly,Weekend,Yes,None,Public transport,2024-05-17,20:53:16,Off-site,Yes
23,F,Married,3,IT,Sales Executive,Part-time,Day,12,30,0,3,Yes,22,4,9,Professional,Evening,Yes,Severe,Own vehicle,2024-01-06,22:01:11,Off-site,No
42,F,Married,2,Marketing,Sales Executive,Contract,Day,5,20,1,1,Yes,16,0,10,Social,Weekday,Yes,Mild,Own vehicle,2024-02-07,21:22:06,Off-site,No
54,F,Single,0,HR,Marketing Specialist,Part-time,Day,14,40,2,1,Yes,17,1,9,Family-friendly,Evening,No,Severe,Own vehicle,2024-01-07,12:06:48,Off-site,No
33,M,Single,2,Finance,HR Manager,Part-time,Night,14,20,1,4,No,22,3,10,Social,Weekday,No,None,Own vehicle,2024-05-18,17:57:16,Office,No
43,M,Married,0,Marketing,Sales Executive,Full-time,Day,11,30,2,2,No,22,4,10,Professional,Weekend,No,None,Public transport,2024-02-06,14:05:49,Office,No
46,M,Single,4,Sales,Accountant,Full-time,Night,9,40,4,1,No,20,1,7,Professional,Weekday,No,None,Own vehicle,2024-03-31,11:01:31,Office,Yes
48,F,Single,1,IT,HR Manager,Full-time,Night,1,30,3,0,No,22,4,1,Family-friendly,Evening,Yes,Mild,Own vehicle,2024-04-03,00:39:42,Office,No
49,M,Single,1,Sales,Accountant,Part-time,Day,7,40,4,4,Yes,22,2,7,Professional,Evening,Yes,Severe,Own vehicle,2024-02-25,09:43:35,Office,No
37,M,Married,1,Marketing,Software Engineer,Contract,Day,5,40,1,3,Yes,20,0,10,Social,Evening,Yes,Mild,Own vehicle,2024-01-16,09:38:10,Off-site,Yes
36,F,Married,2,Marketing,HR Manager,Full-time,Night,5,20,3,4,Yes,17,2,5,Professional,Weekend,No,Mild,Public transport,2024-04-17,08:20:43,Office,Yes
24,M,Single,4,Marketing,Sales Executive,Full-time,Day,14,20,2,3,Yes,22,1,6,Social,Weekend,Yes,None,Own vehicle,2024-04-20,00:43:17,Off-site,Yes
58,F,Married,0,Sales,HR Manager,Part-time,Day,2,30,3,4,No,18,3,10,Social,Evening,Yes,Mild,Public transport,2024-03-01,23:04:25,Off-site,No
28,F,Married,3,Marketing,HR Manager,Full-time,Night,11,20,0,4,Yes,18,4,7,Professional,Weekday,No,Mild,Own vehicle,2024-03-02,15:06:11,Off-site,Yes
